ingredient_name_normalized,suggested_food_id,suggested_food_canonical_name,frequency,rows_with_grams,example_raw_texts,example_recipes,priority,safety
garlic,food_garlic_fresh,garlic_fresh,108,88,"2 tablespoons minced garlic | 4 cloves garlic, minced | 1 clove garlic | 1 clove garlic, minced | 2 cloves garlic, minced",Pork and Pepper Stir Fry | Alysia's Basic Meat Lasagna | Salmon Couscous Salad | Seafood Lasagna II | Portuguese Cod Fish Casserole,high,safe_auto
salt,food_salt_white_sea_igneous_or_rock_no_enrichment,salt_white_sea_igneous_or_rock_no_enrichment,97,75,"1 teaspoon salt | 1 teaspoon salt, divided | salt to taste | 1/2 teaspoon salt | 2 teaspoons salt",Spicy Sausage and Rice Casserole | Sheet Pan Tilapia and Potatoes | Stir Fried Pasta with Veggies | Turmeric Black Pepper Chicken with Broccoli | Kelsey's Favorite Stuffed Green Peppers,high,safe_auto
olive oil,food_olive_oil_extra_virgin,olive_oil_extra_virgin,91,91,"5 tablespoons olive oil | 1 tablespoon olive oil | 2 tablespoons olive oil | ¾ cup olive oil | 2 tablespoons olive oil, divided",Pork and Pepper Stir Fry | Alysia's Basic Meat Lasagna | Seafood Lasagna II | Portuguese Cod Fish Casserole | Grilled Mediterranean Vegetable Sandwich,high,safe_auto
onion,food_yellow_onion_raw,yellow_onion_raw,73,59,"1 small onion, diced | 1 slice onion, diced | 1 onion, chopped | 1 tablespoon minced onion | 1 onion, sliced into thin rings",Alysia's Basic Meat Lasagna | Spicy Sausage and Rice Casserole | White Chili with Ground Turkey | Ground Beef Casserole with Rice | Stir Fried Pasta with Veggies,high,needs_review
black pepper,food_black_pepper_powder,black_pepper_powder,71,0,"ground black pepper to taste | black pepper | 1 teaspoon fresh-ground black pepper | 1 teaspoon ground black pepper | 1/2 teaspoon black pepper,",Salmon Couscous Salad | Seafood Lasagna II | Filipino Pork Adobo | Spicy Sausage and Rice Casserole | Garbanzo Stir-Fry,high,safe_auto
soy sauce,food_soy_sauce_prepacked,soy_sauce_prepacked,36,29,"1 cup soy sauce | 4 tablespoons soy sauce, divided | 2 tablespoons soy sauce | 1 tablespoon soy sauce | 1 teaspoon soy sauce",Filipino Pork Adobo | Korean Fried Pork With Stir-Fried Celery | Stir Fried Pasta with Veggies | Beef and Broccoli Udon Noodles | Air Fryer Everything-Bagel Salmon Dinner,high,safe_auto
eggs,food_egg_raw,egg_raw,34,34,"3 eggs, beaten | 3 eggs | 2 eggs | 2 large eggs, beaten | 2 eggs, beaten",Thai Fried Rice | 10-Minute Mushroom Carbonara | BLT Pasta Carbonara | Zoodles alla Carbonara | Thanksgiving Gluten-Free Stuffing,high,safe_auto
oregano,food_oregano_dried,oregano_dried,26,0,1 teaspoon dried oregano | 1 tablespoon dried oregano | 1 tablespoon chopped fresh oregano | 2 teaspoons dried oregano (Optional) | 1/2 teaspoon dried oregano,Alysia's Basic Meat Lasagna | White Chili with Ground Turkey | Garbanzo Stir-Fry | Ground Beef Casserole with Rice | Shrimp Marinara,high,needs_review
basil,food_basil_dried,basil_dried,20,0,"1 tablespoon chopped fresh basil | 1 teaspoon dried basil | 1/4 cup chopped fresh basil, plus more for garnish | 2 teaspoons dried basil (Optional) | 2 tablespoons chopped fresh basil",Garbanzo Stir-Fry | Ground Beef Casserole with Rice | Shrimp Marinara | Easy Skillet Lasagna | Stuffed Eggplant,high,needs_review
egg,food_egg_raw,egg_raw,20,20,"1 egg | 1 large egg | 1 large egg, | 1 egg, beaten | 1 large egg, beaten",Seafood Lasagna II | Polish Stuffed Cabbage | Linda's Lasagna Recipe | Slow Cooker Tuscan Chicken Meatballs with Gnocchi | Harvest Patties,high,safe_auto
garlic powder,food_garlic_powder_dried,garlic_powder_dried,19,0,1 teaspoon garlic powder | garlic powder to taste | 2 teaspoons garlic powder | 2 tablespoons garlic powder | 1/4 teaspoon garlic powder,Alysia's Basic Meat Lasagna | Polish Stuffed Cabbage | Kelsey's Favorite Stuffed Green Peppers | Linda's Lasagna Recipe | Neck Bones and Lima Beans,high,safe_auto
parsley,food_parsley_fresh,parsley_fresh,19,0,"1 tablespoon chopped fresh parsley | chopped fresh parsley | 1/4 cup chopped fresh parsley (optional) | 3 tablespoons fresh parsley, divided | 2 tablespoons chopped fresh parsley",Portuguese Cod Fish Casserole | Ground Turkey and Zucchini Skillet | Slow Cooker Chicken and Rice | Baked Rigatoni | Zucchini Chicken Rice Casserole,high,needs_review
white sugar,food_sugar_white,sugar_white,19,19,"1 tablespoon white sugar | 2 tablespoons white sugar, divided | 1 teaspoon white sugar | 1 cup white sugar (Optional), divided | 5 teaspoons white sugar, divided",Polish Stuffed Cabbage | Korean Fried Pork With Stir-Fried Celery | Thai Fried Rice | Grandma's Chinese Vegetable Soup | Linda's Lasagna Recipe,high,safe_auto
thyme,food_thyme_dried,thyme_dried,15,0,1 teaspoon dried thyme | 2 tablespoons dried thyme | 1 teaspoon ground thyme | 1/2 teaspoon dried thyme | 1 tablespoon dried thyme,Ground Turkey and Zucchini Skillet | Slow Cooker Chicken and Rice | Classic Turkey and Rice Soup | Easy Chicken and Dumplings with Vegetables | Instant Pot Potato and Bacon Soup,high,needs_review
green onions,food_chive_or_spring_onion_fresh,chive_or_spring_onion_fresh,12,7,"2 green onions, minced | 1/4 cup green onions | 2 tablespoons green onions | 2 green onions | 3 green onions, thinly sliced",Korean Fried Pork With Stir-Fried Celery | Hibachi Chicken and Rice Casserole | Greek Feta and Spinach Potato Casserole | Chicken Adobo Fried Rice | Vegetable Fried Rice,high,needs_review
onions,food_yellow_onion_raw,yellow_onion_raw,10,6,"3 large onions, sliced | 2 cups chopped onions | 3 onions, chopped | 2 medium onions, coarsely chopped | ½ cup chopped onions",Portuguese Cod Fish Casserole | Greek Green Beans | Braised Beef Short Ribs | Dutch Oven Chili Colorado | Adas bil Hamod (Lebanese Lentil Lemon Soup),high,needs_review
cumin,food_cumin_seed,cumin_seed,9,0,"1 tablespoon ground cumin | 1 ½ tablespoons cumin | 2 tablespoons ground cumin | 1 teaspoon ground cumin | ⅛ teaspoon ground cumin, optional",White Chili with Ground Turkey | Vegan Bean Taco Filling | Vegetarian Refried Beans | Mexican Rice and Beans | Refried Beans Without the Refry,high,needs_review
kosher salt,food_salt_white_sea_igneous_or_rock_no_enrichment,salt_white_sea_igneous_or_rock_no_enrichment,9,8,"3/4 teaspoon kosher salt, | 1/4 teaspoon kosher salt | 2 teaspoons kosher salt, divided | 1 1/2 teaspoons kosher salt | 1/2 tablespoon kosher salt",Sheet Pan Garlic Butter Steak Bites with Veggies | Shrimp Marinara | Homemade Roasted Chicken Noodle Soup | Greek Feta and Spinach Potato Casserole | Italian Meatballs on Parmesan Noodles,high,needs_review
butter,food_butter_82_fat_unsalted,butter_82_fat_unsalted,8,6,"2 tablespoons butter | ¼ cup butter | 3 tablespoons butter, cubed | ½ cup butter | 1 tablespoon butter",Sheet Pan Garlic Butter Steak Bites with Veggies | Shrimp Lemon Pepper Linguini | Sheet Pan Lemon Butter Garlic Shrimp with Asparagus | Creamy Morel Mushroom Soup | Chicken Fried Rice,high,needs_review
freshly black pepper,food_black_pepper_powder,black_pepper_powder,7,0,1/4 teaspoon freshly ground black pepper | 2 teaspoons freshly ground black pepper | freshly ground black pepper to taste | ½ teaspoon freshly ground black pepper | 1 teaspoon freshly ground black pepper to taste,Slow Cooker Tuscan Chicken Meatballs with Gnocchi | Shrimp Lemon Pepper Linguini | Steak Fried Rice | Nut Loaf Supreme | Korean BBQ Beef (Pul-Kogi),medium,safe_auto
rice,food_rice_raw,rice_raw,7,7,"1 cup cooked rice | 2 cups cooked rice | 1 cup rice | 3 cups cooked rice | 2 ½ cups cooked rice, or to taste",Polish Stuffed Cabbage | Ground Beef Casserole with Rice | Slow Cooker Chicken and Rice | Black-Eyed Peas and Rice | Chicken Adobo Fried Rice,high,needs_review
red onion,food_red_onion_raw,red_onion_raw,6,3,"1 small red onion, | 1/4 cup red onion (optional) | 1/4 cup red onion | 1 medium red onion, diced | 1 large red onion, chopped",Sheet Pan Garlic Butter Steak Bites with Veggies | Hot Honey Salmon Bowls | Blackened Shrimp Tacos | Smoky Chicken Salad | Asian Fire Meat,medium,safe_auto
yellow onion,food_yellow_onion_raw,yellow_onion_raw,6,6,"1 large yellow onion, chopped | 1 small yellow onion, chopped | 1 medium yellow onion, chopped | 1 medium yellow onion, diced | 1 yellow onion, quartered",Classic Goulash | Vegetable Fried Rice | Beef and Butternut Squash Chili | Cabbage Fried Rice | Ground Turkey Lettuce Wraps,high,safe_auto
garlic cloves,food_garlic_fresh,garlic_fresh,5,5,"3 medium garlic cloves, minced | 4 garlic cloves, | 4 garlic cloves | 6 garlic cloves, | 8 large garlic cloves, minced","Asian Pasta Salad with Beef, Broccoli and Bean Sprouts | Air Fryer Turkey Stuffed Peppers | Steak and Broccoli Stir Fry | Campfire Carnitas | Grilled Beef Tenderloin with Herb-Garlic-Pepper Coating",high,safe_auto
unsalted butter,food_butter_82_fat_unsalted,butter_82_fat_unsalted,5,4,2 tablespoons unsalted butter | 1 tablespoon unsalted butter | 1/2 cup unsalted butter,Spaghetti Squash Carbonara | Simple Cauliflower Soup | One Pot Turmeric Chicken and Rice | Lemon Chicken Gnocchi | Easy French Toast Casserole,high,safe_auto
sugar,food_sugar_white,sugar_white,4,4,2 teaspoons sugar | 1 tablespoon sugar | 1 teaspoon sugar,"Greek Green Beans | Mom's Goulash in the Microwave | Asian Pasta Salad with Beef, Broccoli and Bean Sprouts | Beefy Chinese Dumplings",medium,needs_review
white rice,food_rice_raw,rice_raw,4,4,"1 cup white rice | 3 cups cooked white rice | 2 cups cooked white rice | 2 cups cooked white rice, cold",Zucchini Chicken Rice Casserole | Steak Fried Rice | Cabbage Fried Rice | Chicken Fried Rice,high,safe_auto
balsamic vinegar,food_vinegar_balsamic,vinegar_balsamic,3,3,"1 tablespoon balsamic vinegar | 2 tablespoons balsamic vinegar, or as needed",Shrimp Marinara | Dad's Pan-Fried Green Beans | Mid-Summer Italian Bread Salad,medium,safe_auto
flank steak,food_beef_flank_steak_raw,beef_flank_steak_raw,3,2,"1/2 pound flank steak, sliced across grain 1/4-inch thick | 1 (1 pound) flank steak | 1 pound flank steak, sliced across the grain",Beef and Broccoli Udon Noodles | Steak Fried Rice | Korean Sweet Potato Noodles (Japchae),medium,safe_auto
jasmine rice,food_rice_raw,rice_raw,3,3,"5 cups cooked jasmine rice, cooled | ½ cup cooked jasmine rice | 1 cup jasmine rice",Thai Fried Rice | Baked Chicken and Vegetable Rice Paper Rolls | One Pot Turmeric Chicken and Rice,high,needs_review
uncooked white rice,food_rice_raw,rice_raw,3,3,1 cup uncooked white rice | ⅔ cup uncooked white rice,Kelsey's Favorite Stuffed Green Peppers | Sweet and Sour Stuffed Cabbage | Cold Rice Salad,high,safe_auto
basmati rice,food_basmati_rice_raw,basmati_rice_raw,2,2,1 cup basmati rice | 2 cups basmati rice,Mexican Rice and Beans | Swamp Rice,high,safe_auto
light soy sauce,food_soy_sauce_prepacked,soy_sauce_prepacked,2,2,2 tablespoons light soy sauce | 3 tablespoons light soy sauce,Thai Fried Rice | Dad's Pan-Fried Green Beans,medium,needs_review
virgin olive oil,food_olive_oil_extra_virgin,olive_oil_extra_virgin,2,2,3 tablespoons extra virgin olive oil | 2 tablespoons extra-virgin olive oil,Shrimp Marinara | Savory Vegetarian Quinoa,high,safe_auto
beef short ribs,food_beef_short_ribs_raw,beef_short_ribs_raw,1,1,4 pounds beef short ribs,Braised Beef Short Ribs,high,safe_auto
sea salt,food_sea_salt_grey_no_enrichment,sea_salt_grey_no_enrichment,1,1,½ teaspoon sea salt,Garlic Hummus,medium,needs_review
