recipe_id_candidate,source_index,display_name,ingredient_position,ingredient_raw_text,ingredient_name_parsed,ingredient_name_normalized,quantity_value,quantity_unit,quantity_grams_estimated,parse_status,fooddb_version_used,mapped_food_id,mapped_food_canonical_name,mapping_status,mapping_confidence,mapping_method,mapping_notes
recipes_v1_1_candidate_001,59497,Pork and Pepper Stir Fry,5,salt and ground black pepper to taste,salt and ground black pepper,salt and black pepper,,,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,compound_or_alternative_ingredient_name
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,7,1 (8 ounce) can tomato sauce,tomato sauce,tomato sauce,1.0,can,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_tomato_sauce_with_meat_or_bolognese_sauce_prepacked,food_tomato_sauce_with_onions_prepacked"
recipes_v1_1_candidate_003,45080,Salmon Couscous Salad,1,1/2 cup mayonnaise,mayonnaise,mayonnaise,0.5,cup,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_mayonnaise_70_fat_and_more_prepacked,food_mayonnaise_reduced_fat_or_light_mayonnaise_prepacked"
recipes_v1_1_candidate_003,45080,Salmon Couscous Salad,6,ground black pepper to taste,ground black pepper,black pepper,,,,review_needed,fooddb_v1_1_draft_round2,food_black_pepper_powder,black_pepper_powder,review_needed,low,safe_alias_v1_1,safe_alias_v1_1:black pepper->food_black_pepper_powder; parse_status_review_gate
recipes_v1_1_candidate_005,12639,Portuguese Cod Fish Casserole,6,1 tablespoon chopped fresh parsley,chopped fresh parsley,parsley,1.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_parsley_dried
recipes_v1_1_candidate_005,12639,Portuguese Cod Fish Casserole,9,3 tablespoons tomato sauce,tomato sauce,tomato sauce,3.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_tomato_sauce_with_meat_or_bolognese_sauce_prepacked,food_tomato_sauce_with_onions_prepacked"
recipes_v1_1_candidate_008,46240,White Chili with Ground Turkey,7,1 teaspoon ground cinnamon,ground cinnamon,cinnamon,1.0,teaspoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_cinnamon_powder
recipes_v1_1_candidate_008,46240,White Chili with Ground Turkey,8,ground cayenne pepper to taste,ground cayenne pepper,cayenne pepper,,,,review_needed,fooddb_v1_1_draft_round2,food_cayenne_pepper,cayenne_pepper,review_needed,low,exact_match,exact display_name match; parse_status_review_gate
recipes_v1_1_candidate_008,46240,White Chili with Ground Turkey,9,ground white pepper to taste,ground white pepper,white pepper,,,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_white_pepper_powder
recipes_v1_1_candidate_011,52979,Grilled Mediterranean Vegetable Sandwich,1,"1 eggplant, sliced into strips",eggplant,eggplant,1.0,count,50.0,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_eggplant_cooked,food_eggplant_raw"
recipes_v1_1_candidate_011,52979,Grilled Mediterranean Vegetable Sandwich,6,4 tablespoons mayonnaise,mayonnaise,mayonnaise,4.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_mayonnaise_70_fat_and_more_prepacked,food_mayonnaise_reduced_fat_or_light_mayonnaise_prepacked"
recipes_v1_1_candidate_012,52970,Garbanzo Stir-Fry,2,1 tablespoon chopped fresh oregano,chopped fresh oregano,oregano,1.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_oregano_dried
recipes_v1_1_candidate_012,52970,Garbanzo Stir-Fry,3,1 tablespoon chopped fresh basil,chopped fresh basil,basil,1.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_basil_dried
recipes_v1_1_candidate_012,52970,Garbanzo Stir-Fry,5,ground black pepper to taste,ground black pepper,black pepper,,,,review_needed,fooddb_v1_1_draft_round2,food_black_pepper_powder,black_pepper_powder,review_needed,low,safe_alias_v1_1,safe_alias_v1_1:black pepper->food_black_pepper_powder; parse_status_review_gate
recipes_v1_1_candidate_012,52970,Garbanzo Stir-Fry,10,"1 tomato, chopped",tomato,tomato,1.0,count,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=4; preview=food_tomato_dried,food_tomato_raw,food_tomato_roasted_baked,food_tomato_roasted_baked_with_skin"
recipes_v1_1_candidate_013,12444,Ground Beef Casserole with Rice,3,"1 medium tomato, chopped",tomato,tomato,1.0,count,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=4; preview=food_tomato_dried,food_tomato_raw,food_tomato_roasted_baked,food_tomato_roasted_baked_with_skin"
recipes_v1_1_candidate_013,12444,Ground Beef Casserole with Rice,10,salt and ground black pepper to taste,salt and ground black pepper,salt and black pepper,,,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,compound_or_alternative_ingredient_name
recipes_v1_1_candidate_014,59533,Korean Fried Pork With Stir-Fried Celery,7,2 tablespoons grated fresh ginger,grated fresh ginger,ginger,2.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_ginger_powder,food_ginger_raw"
recipes_v1_1_candidate_014,59533,Korean Fried Pork With Stir-Fried Celery,10,"1 pound pork loin, cut into strips",pork loin,pork loin,1.0,pound,453.59,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=3; preview=food_pork_loin_cooked,food_pork_loin_raw,food_pork_loin_roasted_baked"
recipes_v1_1_candidate_015,26203,Sheet Pan Garlic Butter Steak Bites with Veggies,11,2 teaspoons fresh rosemary,fresh rosemary,rosemary,2.0,teaspoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_rosemary_dried
recipes_v1_1_candidate_016,26208,Sheet Pan Tilapia and Potatoes,10,1 teaspoon lemon zest,lemon zest,lemon zest,1.0,teaspoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_lemon_zest_raw
recipes_v1_1_candidate_017,36637,Stir Fried Pasta with Veggies,9,salt to taste,salt,salt,,,,review_needed,fooddb_v1_1_draft_round2,food_salt_white_sea_igneous_or_rock_no_enrichment,salt_white_sea_igneous_or_rock_no_enrichment,review_needed,low,safe_alias_v1_1,safe_alias_v1_1:salt->food_salt_white_sea_igneous_or_rock_no_enrichment; parse_status_review_gate
recipes_v1_1_candidate_017,36637,Stir Fried Pasta with Veggies,10,ground black pepper to taste,ground black pepper,black pepper,,,,review_needed,fooddb_v1_1_draft_round2,food_black_pepper_powder,black_pepper_powder,review_needed,low,safe_alias_v1_1,safe_alias_v1_1:black pepper->food_black_pepper_powder; parse_status_review_gate
recipes_v1_1_candidate_018,45807,Shrimp Marinara,7,1 (15 ounce) can tomato sauce,tomato sauce,tomato sauce,1.0,can,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_tomato_sauce_with_meat_or_bolognese_sauce_prepacked,food_tomato_sauce_with_onions_prepacked"
recipes_v1_1_candidate_018,45807,Shrimp Marinara,8,"1/4 cup chopped fresh basil, plus more for garnish",chopped fresh basil,basil,0.25,cup,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_basil_dried
recipes_v1_1_candidate_019,46997,Turmeric Black Pepper Chicken with Broccoli,5,1 1/2 teaspoons ground turmeric,ground turmeric,turmeric,1.5,teaspoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_turmeric_powder
recipes_v1_1_candidate_019,46997,Turmeric Black Pepper Chicken with Broccoli,9,1/2 pound broccoli,broccoli,broccoli,0.5,pound,226.8,parsed_clean,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=7; preview=food_broccoli_boiled_cooked_in_water_crunchy,food_broccoli_boiled_cooked_in_water_tender,food_broccoli_cooked,food_broccoli_frozen_cooked,food_broccoli_frozen_raw"
recipes_v1_1_candidate_020,48701,Thai Fried Rice,4,"1 large tomato, cubed",tomato,tomato,1.0,count,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=4; preview=food_tomato_dried,food_tomato_raw,food_tomato_roasted_baked,food_tomato_roasted_baked_with_skin"
recipes_v1_1_candidate_021,46164,Kelsey's Favorite Stuffed Green Peppers,7,salt to taste,salt,salt,,,,review_needed,fooddb_v1_1_draft_round2,food_salt_white_sea_igneous_or_rock_no_enrichment,salt_white_sea_igneous_or_rock_no_enrichment,review_needed,low,safe_alias_v1_1,safe_alias_v1_1:salt->food_salt_white_sea_igneous_or_rock_no_enrichment; parse_status_review_gate
recipes_v1_1_candidate_021,46164,Kelsey's Favorite Stuffed Green Peppers,8,ground black pepper to taste,ground black pepper,black pepper,,,,review_needed,fooddb_v1_1_draft_round2,food_black_pepper_powder,black_pepper_powder,review_needed,low,safe_alias_v1_1,safe_alias_v1_1:black pepper->food_black_pepper_powder; parse_status_review_gate
recipes_v1_1_candidate_021,46164,Kelsey's Favorite Stuffed Green Peppers,9,1 (15 ounce) can tomato sauce,tomato sauce,tomato sauce,1.0,can,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_tomato_sauce_with_meat_or_bolognese_sauce_prepacked,food_tomato_sauce_with_onions_prepacked"
recipes_v1_1_candidate_022,15547,Grandma's Chinese Vegetable Soup,8,salt to taste,salt,salt,,,,review_needed,fooddb_v1_1_draft_round2,food_salt_white_sea_igneous_or_rock_no_enrichment,salt_white_sea_igneous_or_rock_no_enrichment,review_needed,low,safe_alias_v1_1,safe_alias_v1_1:salt->food_salt_white_sea_igneous_or_rock_no_enrichment; parse_status_review_gate
recipes_v1_1_candidate_026,26447,Hibachi Chicken and Rice Casserole,7,"1 tablespoon fresh ginger,",fresh ginger,ginger,1.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_ginger_powder,food_ginger_raw"
recipes_v1_1_candidate_026,26447,Hibachi Chicken and Rice Casserole,10,1 cup broccoli,broccoli,broccoli,1.0,cup,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=7; preview=food_broccoli_boiled_cooked_in_water_crunchy,food_broccoli_boiled_cooked_in_water_tender,food_broccoli_cooked,food_broccoli_frozen_cooked,food_broccoli_frozen_raw"
recipes_v1_1_candidate_029,56,Air Fryer Everything-Bagel Salmon Dinner,2,"1 sweet potato, cut into 1/4-inch wedges",sweet potato,sweet potato,1.0,count,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_sweet_potato_cooked,food_sweet_potato_raw"
recipes_v1_1_candidate_029,56,Air Fryer Everything-Bagel Salmon Dinner,8,2 teaspoons mayonnaise,mayonnaise,mayonnaise,2.0,teaspoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_mayonnaise_70_fat_and_more_prepacked,food_mayonnaise_reduced_fat_or_light_mayonnaise_prepacked"
recipes_v1_1_candidate_030,47574,Stuffed Eggplant,1,"1 (1½ pound) eggplant, halved lengthwise",eggplant,eggplant,1.0,count,50.0,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_eggplant_cooked,food_eggplant_raw"
recipes_v1_1_candidate_030,47574,Stuffed Eggplant,9,2 tablespoons chopped fresh basil,chopped fresh basil,basil,2.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_basil_dried
recipes_v1_1_candidate_031,13917,Spaghetti Squash Carbonara,3,salt to taste,salt,salt,,,,review_needed,fooddb_v1_1_draft_round2,food_salt_white_sea_igneous_or_rock_no_enrichment,salt_white_sea_igneous_or_rock_no_enrichment,review_needed,low,safe_alias_v1_1,safe_alias_v1_1:salt->food_salt_white_sea_igneous_or_rock_no_enrichment; parse_status_review_gate
recipes_v1_1_candidate_031,13917,Spaghetti Squash Carbonara,4,8 ounces pancetta,pancetta,pancetta,8.0,ounce,226.8,parsed_clean,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_pancetta_dried
recipes_v1_1_candidate_033,641,Ground Turkey and Zucchini Skillet,12,salt and freshly ground black pepper to taste,salt and freshly ground black pepper,salt and freshly black pepper,,,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,compound_or_alternative_ingredient_name
recipes_v1_1_candidate_033,641,Ground Turkey and Zucchini Skillet,13,chopped fresh parsley,chopped fresh parsley,parsley,,,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_parsley_dried
recipes_v1_1_candidate_034,26250,Slow Cooker Chicken and Rice,2,1 cup rice,rice,rice,1.0,cup,185.0,parsed_clean,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_rice_cooked_unsalted,food_rice_raw"
recipes_v1_1_candidate_034,26250,Slow Cooker Chicken and Rice,7,1 (10-ounce) package frozen peas and carrots,frozen peas and carrots,peas and carrots,1.0,package,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,compound_or_alternative_ingredient_name
recipes_v1_1_candidate_034,26250,Slow Cooker Chicken and Rice,11,1/4 cup chopped fresh parsley (optional),chopped fresh parsley,parsley,0.25,cup,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_parsley_dried
recipes_v1_1_candidate_036,42384,Prime Rib Soup,3,"1 potato, peeled and cut into 3/4 inch pieces",potato,potato,1.0,count,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=4; preview=food_potato_boiled_cooked_in_water,food_potato_canned_drained,food_potato_cooked,food_potato_roasted_baked"
recipes_v1_1_candidate_038,25687,Classic Turkey and Rice Soup,6,1 teaspoon dried rosemary,dried rosemary,rosemary,1.0,teaspoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_rosemary_dried
recipes_v1_1_candidate_038,25687,Classic Turkey and Rice Soup,9,salt and ground black pepper to taste,salt and ground black pepper,salt and black pepper,,,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,compound_or_alternative_ingredient_name
recipes_v1_1_candidate_039,43741,Black-Eyed Peas and Rice,10,salt and ground black pepper to taste,salt and ground black pepper,salt and black pepper,,,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,compound_or_alternative_ingredient_name
recipes_v1_1_candidate_041,25796,Harvest Patties,3,"1 parsnip, peeled and grated",parsnip,parsnip,1.0,count,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_parsnip_cooked,food_parsnip_raw"
recipes_v1_1_candidate_041,25796,Harvest Patties,7,1 tablespoon ground cinnamon,ground cinnamon,cinnamon,1.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_cinnamon_powder
recipes_v1_1_candidate_042,48781,Greek Feta and Spinach Potato Casserole,2,8 ounces spinach,spinach,spinach,8.0,ounce,226.8,parsed_clean,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=6; preview=food_spinach_boiled_cooked_in_water,food_spinach_canned_drained,food_spinach_cooked,food_spinach_frozen_cooked,food_spinach_frozen_raw"
recipes_v1_1_candidate_042,48781,Greek Feta and Spinach Potato Casserole,7,2 teaspoons lemon zest,lemon zest,lemon zest,2.0,teaspoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_lemon_zest_raw
recipes_v1_1_candidate_044,14323,Easy Chicken and Dumplings with Vegetables,6,1 tablespoon dried rosemary,dried rosemary,rosemary,1.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_rosemary_dried
recipes_v1_1_candidate_045,55162,BLT Pasta Carbonara,5,1 egg yolk,egg yolk,egg yolk,1.0,count,50.0,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=3; preview=food_egg_yolk_cooked,food_egg_yolk_powder,food_egg_yolk_raw"
recipes_v1_1_candidate_045,55162,BLT Pasta Carbonara,6,salt and freshly ground black pepper to taste,salt and freshly ground black pepper,salt and freshly black pepper,,,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,compound_or_alternative_ingredient_name
recipes_v1_1_candidate_045,55162,BLT Pasta Carbonara,10,"1 bunch fresh spinach, stems removed and leaves torn into bite-sized pieces",stems removed and leaves torn into bite-sized pieces,stems removed and leaves torn into bite sized pieces,1.0,bunch,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,compound_or_alternative_ingredient_name
recipes_v1_1_candidate_047,40706,Greek Green Beans,7,salt to taste,salt,salt,,,,review_needed,fooddb_v1_1_draft_round2,food_salt_white_sea_igneous_or_rock_no_enrichment,salt_white_sea_igneous_or_rock_no_enrichment,review_needed,low,safe_alias_v1_1,safe_alias_v1_1:salt->food_salt_white_sea_igneous_or_rock_no_enrichment; parse_status_review_gate
recipes_v1_1_candidate_048,38085,Baked Rigatoni,6,3 tablespoons chopped fresh basil,chopped fresh basil,basil,3.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_basil_dried
recipes_v1_1_candidate_048,38085,Baked Rigatoni,7,1 tablespoon chopped fresh oregano,chopped fresh oregano,oregano,1.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_oregano_dried
recipes_v1_1_candidate_048,38085,Baked Rigatoni,8,1 tablespoon chopped fresh parsley,chopped fresh parsley,parsley,1.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_parsley_dried
recipes_v1_1_candidate_049,46209,Classic Goulash,6,2 (15 ounce) cans tomato sauce,tomato sauce,tomato sauce,2.0,can,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_tomato_sauce_with_meat_or_bolognese_sauce_prepacked,food_tomato_sauce_with_onions_prepacked"
recipes_v1_1_candidate_050,46018,Zucchini Chicken Rice Casserole,11,1 teaspoon lemon zest,lemon zest,lemon zest,1.0,teaspoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_lemon_zest_raw
recipes_v1_1_candidate_050,46018,Zucchini Chicken Rice Casserole,15,"3 tablespoons fresh parsley, divided",fresh parsley,parsley,3.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_parsley_dried
recipes_v1_1_candidate_050,46018,Zucchini Chicken Rice Casserole,16,2 tablespoons fresh mint,fresh mint,mint,2.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_mint_dried
recipes_v1_1_candidate_051,5680,Cabbage Borsht,6,3 large peeled and diced red potatoes,peeled and diced red potatoes,and red potatoes,3.0,count,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,compound_or_alternative_ingredient_name
recipes_v1_1_candidate_051,5680,Cabbage Borsht,10,2 tablespoons chopped fresh parsley,chopped fresh parsley,parsley,2.0,tablespoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_parsley_dried
recipes_v1_1_candidate_052,14727,Teriyaki Chicken with Mushrooms and Broccoli,5,"4 teaspoons fresh ginger, minced",fresh ginger,ginger,4.0,teaspoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_ginger_powder,food_ginger_raw"
recipes_v1_1_candidate_053,28309,Baked Chicken and Vegetable Rice Paper Rolls,3,2 teaspoons minced fresh ginger,minced fresh ginger,ginger,2.0,teaspoon,,parsed_partial,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_ginger_powder,food_ginger_raw"
recipes_v1_1_candidate_054,36407,Dad's Lima Bean Soup with Ham Bone,2,"8 cups water, plus more as needed",water,water,8.0,cup,1920.0,review_needed,fooddb_v1_1_draft_round2,food_water_municipal,water_municipal,review_needed,low,review_promotion_v1_1,review_promotion_v1_1:water_low_macro_impact; parse_status_review_gate
