recipe_id_candidate,display_name,recipe_kind_guess,primary_protein,nutrition_basis,servings_basis,uses_pilot_servings_fallback,servings_estimation_method,servings_estimation_reasons,total_weight_grams_estimated,mapped_weight_grams,known_weight_grams_sum,mapped_weight_ratio,energy_kcal_total,protein_g_total,carbs_g_total,fat_g_total,energy_kcal_per_serving,protein_g_per_serving,carbs_g_per_serving,fat_g_per_serving,ingredient_count,accepted_auto_count,accepted_auto_with_grams_count,review_needed_count,review_needed_with_grams_count,unmapped_count,unmapped_with_grams_count,cache_status,quality_flags,cache_version,is_complete_or_near_complete_meal,blocking_with_grams_count
recipes_v1_1_candidate_124,Fish Tacos al Pastor,near_complete_main,fish,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,907.18,0,907.18,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,1,no_accepted_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_069,Vietnamese Salad Rolls,salad,fish,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_salad_4_servings,226.8,0,226.8,0,0,0,0,0,0,0,0,0,8,0,0,4,1,4,0,no_accepted_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_187,Homemade Turkey Sausage Patties,protein_component,turkey,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_protein_component_4_servings,462.815,3.225,462.815,0.007,4.8076,0.2294,0.6814,0.1294,1.2019,0.0574,0.1703,0.0323,5,2,2,1,0,2,2,partial_from_mapped_ingredients,is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,False,2
recipes_v1_1_candidate_003,Salmon Couscous Salad,salad,fish,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_salad_4_servings,183.5,3,183.5,0.0163,3.33,0.1593,0.558,0.009,0.8325,0.0398,0.1395,0.0022,6,1,1,2,0,3,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_194,Air Fryer Lemon-Thyme Baby Red Potatoes,carb_side,unknown,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_carb_side_4_servings,356.69,16.5,356.69,0.0463,121.5,0.0405,0,13.4865,30.375,0.0101,0,3.3716,5,2,2,1,0,2,1,partial_from_mapped_ingredients,is_low_mapped_weight_ratio,recipes_v1_1_draft_001,False,1
recipes_v1_1_candidate_074,Adas bil Hamod (Lebanese Lentil Lemon Soup),soup,vegetarian,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_soup_4_servings,476.09,22.5,476.09,0.0473,131.49,0.5184,1.674,13.5135,32.8725,0.1296,0.4185,3.3784,8,3,2,2,0,3,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_139,Sheet Pan Lemon Butter Garlic Shrimp with Asparagus,near_complete_main,fish,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,1215.58,81.6,1215.58,0.0671,577.098,1.0164,2.6154,62.3244,144.2745,0.2541,0.6539,15.5811,10,6,3,1,1,3,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_136,Chinese Shrimp and Tofu Soup,soup,fish,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_soup_4_servings,431.55,34.65,431.55,0.0803,161.305,0.4924,8.8742,13.5407,40.3263,0.1231,2.2186,3.3852,10,5,5,3,2,2,0,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_138,Air Fryer Lemon Garlic Parmesan Chicken,near_complete_main,chicken,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,770.39,63,770.39,0.0818,207.791,18.4679,3.548,12.5698,51.9477,4.617,0.887,3.1425,10,5,4,1,0,4,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_065,Vegetarian Refried Beans,complete_main,vegetarian,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,497.39,43.8,497.39,0.0881,261.648,0.9731,3.1248,27.0234,65.412,0.2433,0.7812,6.7559,7,2,2,2,0,3,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_042,Greek Feta and Spinach Potato Casserole,complete_main,egg,v1_1_mapped_ingredients_draft,6,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; known_weight_grams_sum_gte_1600,1681.03,150.15,1681.03,0.0893,565.865,6.9835,1.7053,58.9653,94.3108,1.1639,0.2842,9.8275,13,8,6,2,1,3,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio; needs_mapping_review,recipes_v1_1_draft_001,True,3
recipes_v1_1_candidate_132,Amy's Delicious Turkey Burgers,near_complete_main,turkey,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,503.59,50,503.59,0.0993,70,6.35,0.135,4.915,17.5,1.5875,0.0338,1.2288,6,2,1,0,0,4,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_121,Broccoli Beef I,near_complete_main,beef,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,543.59,60,543.59,0.1104,117.69,2.4249,26.6728,0.041,29.4225,0.6062,6.6682,0.0103,8,3,3,1,0,4,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_071,Roasted Tomato Hummus Toast,complete_main,vegetarian,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,488.24,63,488.24,0.129,492.66,0.4806,1.116,53.964,123.165,0.1201,0.279,13.491,11,5,4,2,0,4,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_165,"Turkey Sausage, Potato, Brussels Sprouts, and Apple Hash",breakfast,turkey,v1_1_mapped_ingredients_draft,2,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_breakfast_2_servings,1020.74,140.35,1020.74,0.1375,270.131,1.5029,7.457,26.0266,135.0655,0.7514,3.7285,13.0133,11,5,5,1,0,5,3,partial_from_mapped_ingredients,is_low_protein_suspicious; is_low_mapped_weight_ratio; needs_mapping_review,recipes_v1_1_draft_001,False,3
recipes_v1_1_candidate_051,Cabbage Borsht,complete_main,chicken,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,1588.78,228,1588.78,0.1435,76.62,2.028,13.929,1.11,19.155,0.507,3.4822,0.2775,11,4,3,2,0,5,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_127,Valerio's Pulled Pork Sandwich,near_complete_main,pork,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,530.99,77.4,530.99,0.1458,146.0178,1.8685,32.3058,1.035,36.5044,0.4671,8.0765,0.2587,7,4,3,0,0,3,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_054,Dad's Lima Bean Soup with Ham Bone,soup,pork,v1_1_mapped_ingredients_draft,8,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; known_weight_grams_sum_gte_2400,2519.1,372.3,2519.1,0.1478,264.0466,3.2134,26.0835,15.0877,33.0058,0.4017,3.2604,1.886,11,7,6,1,1,3,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_090,BBQ Meatballs,complete_main,beef,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,534.19,80.6,534.19,0.1509,177.5572,6.3831,26.9898,4.915,44.3893,1.5958,6.7475,1.2288,13,4,3,2,1,7,0,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_019,Turmeric Black Pepper Chicken with Broccoli,complete_main,chicken,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,808.615,123.225,808.615,0.1524,263.9476,0.4646,34.9954,13.5619,65.9869,0.1162,8.7488,3.3905,11,5,5,2,1,4,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio; needs_mapping_review,recipes_v1_1_draft_001,True,3
recipes_v1_1_candidate_034,Slow Cooker Chicken and Rice,complete_main,chicken,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,1030.54,165.15,1030.54,0.1603,239.8141,19.354,9.2082,13.3425,59.9535,4.8385,2.3021,3.3356,11,5,5,3,1,3,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_033,Ground Turkey and Zucchini Skillet,complete_main,turkey,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,544.79,91.2,544.79,0.1674,155.952,1.3812,5.8307,14.0413,38.988,0.3453,1.4577,3.5103,13,5,5,2,0,6,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_105,Spinach and Ricotta Tortellini,complete_main,egg,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,1112.18,205,1112.18,0.1843,560,51.1,4.16,36.165,140,12.775,1.04,9.0412,10,5,3,3,0,2,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_143,Sausage Pinwheels,near_complete_main,pork,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,563.59,110,563.59,0.1952,38.5,1.21,6.875,0.682,9.625,0.3025,1.7188,0.1705,6,2,1,2,0,2,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_032,Slow Cooker Tuscan Chicken Meatballs with Gnocchi,complete_main,chicken,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,605.09,124.5,605.09,0.2058,101.52,7.9633,4.639,5.649,25.38,1.9908,1.1597,1.4123,11,6,5,0,0,5,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_007,Spicy Sausage and Rice Casserole,complete_main,pork,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,1236.09,257.3,1236.09,0.2082,30.8001,2.3198,3.6385,0.7035,7.7,0.5799,0.9096,0.1759,11,6,4,0,0,5,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_107,American Potato Salad,salad,egg,v1_1_mapped_ingredients_draft,8,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; known_weight_grams_sum_gte_2400,2912.26,644.3,2912.26,0.2212,530.2501,45.2699,13.2135,31.4885,66.2813,5.6587,1.6517,3.9361,9,6,5,1,0,2,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_135,Spicy Beef Curry Stew for the Slow Cooker,soup,beef,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_soup_4_servings,583.09,129.5,583.09,0.2221,166.66,1.5691,7.991,14.1865,41.665,0.3923,1.9977,3.5466,10,4,3,2,0,4,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_050,Zucchini Chicken Rice Casserole,complete_main,chicken,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,839.59,201,839.59,0.2394,309.8905,2.3639,11.806,28.0134,77.4726,0.591,2.9515,7.0034,16,5,5,3,0,8,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_111,Nut Loaf Supreme,complete_main,egg,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,930.69,243,930.69,0.2611,535.099,26.05,2.483,46.7343,133.7748,6.5125,0.6208,11.6836,16,5,5,4,1,7,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio; needs_mapping_review,recipes_v1_1_draft_001,True,3
recipes_v1_1_candidate_115,Ground Turkey Lettuce Wraps,near_complete_main,turkey,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,615.09,161.5,615.09,0.2626,184.3,3.9337,9.3098,13.8665,46.075,0.9834,2.3274,3.4666,5,4,4,0,0,1,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_130,Easy Moo Shu Pork,near_complete_main,pork,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,475.49,135.3,475.49,0.2845,405.208,2.7923,6.2396,40.5854,101.302,0.6981,1.5599,10.1463,9,5,5,3,1,1,0,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_006,Filipino Pork Adobo,complete_main,pork,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,1598.27,464.29,1598.27,0.2905,174.4906,9.3248,38.2138,1.4678,43.6227,2.3312,9.5534,0.3669,8,5,3,0,0,3,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_045,BLT Pasta Carbonara,complete_main,pork,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,932.02,272.5,932.02,0.2924,733.49,55.3684,5.299,53.2585,183.3725,13.8421,1.3248,13.3146,10,4,4,3,1,3,2,partial_from_mapped_ingredients,is_low_mapped_weight_ratio; needs_mapping_review,recipes_v1_1_draft_001,True,3
recipes_v1_1_candidate_108,Steak and Broccoli Stir Fry,near_complete_main,beef,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,685.59,232,685.59,0.3384,78.66,6.2912,6.852,1.18,19.665,1.5728,1.713,0.295,11,6,2,3,0,2,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_080,Mexican Rice and Beans,complete_main,vegetarian,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,286,101,286,0.3531,272.631,1.1003,5.197,27.4588,68.1577,0.2751,1.2993,6.8647,12,5,4,2,1,5,0,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_153,Asian Fire Meat,near_complete_main,beef,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,713.69,260.1,713.69,0.3644,317.6172,2.854,41.5278,14.307,79.4043,0.7135,10.3819,3.5767,11,6,5,1,0,4,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_114,Fried Rice with Tofu,complete_main,egg,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,806.7,296.2,806.7,0.3672,512.0564,20.033,12.5881,42.131,128.0141,5.0083,3.147,10.5328,11,5,5,6,2,0,0,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_040,Quinoa Chard Pilaf,complete_main,vegetarian,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,359.3,132.5,359.3,0.3688,169.99,1.7284,8.549,14.1955,42.4975,0.4321,2.1372,3.5489,8,3,3,0,0,5,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_026,Hibachi Chicken and Rice Casserole,complete_main,chicken,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,640.2,236.7,640.2,0.3697,473.4059,2.5152,52.3067,28.1555,118.3515,0.6288,13.0767,7.0389,15,6,5,2,0,7,3,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio; needs_mapping_review,recipes_v1_1_draft_001,True,3
recipes_v1_1_candidate_129,Garlic Butter Steak Bites With Mushrooms,near_complete_main,beef,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,47.65,17.65,47.65,0.3704,124.705,0.1935,0.4542,13.5728,31.1763,0.0484,0.1136,3.3932,5,3,3,1,0,1,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_031,Spaghetti Squash Carbonara,complete_main,pork,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,522.6,195.8,522.6,0.3747,597.5823,1.238,2.9811,64.5206,149.3956,0.3095,0.7453,16.1302,11,4,4,2,1,5,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_025,10-Minute Mushroom Carbonara,complete_main,egg,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,446.3,169.5,446.3,0.3798,338.16,19.4091,1.521,28.2495,84.54,4.8523,0.3803,7.0624,6,3,3,0,0,3,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_178,Garlic Hummus,snack,vegetarian,v1_1_mapped_ingredients_draft,1,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; snack_weight_lte_350g_1_serving; small_non_main_weight_lte_300g_1_serving,101.5,40.5,101.5,0.399,134.82,0.6777,2.232,13.5225,134.82,0.6777,2.232,13.5225,7,3,3,1,0,3,2,partial_from_mapped_ingredients,is_low_mapped_weight_ratio,recipes_v1_1_draft_001,False,2
recipes_v1_1_candidate_005,Portuguese Cod Fish Casserole,complete_main,fish,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,1525.18,618,1525.18,0.4052,1622.16,5.7546,29.241,164.646,405.54,1.4386,7.3102,41.1615,9,5,3,2,0,2,1,partial_from_mapped_ingredients,is_low_protein_suspicious,recipes_v1_1_draft_001,True,1
